Date,Open,High,Low,Close,Volume
01/02/2018,52417,53776,52029,53388,2801720
01/03/2018,53873,54067,52902,53291,1843870
01/04/2018,52999,53776,52708,53776,1990040
01/05/2018,53485,53485,52320,52417,2045200
01/08/2018,52417,53873,51446,53776,2071140
01/09/2018,54358,56785,52902,56785,2853160
01/10/2018,56591,57465,55620,56300,2842830
01/11/2018,55814,57076,55523,57076,1766240
01/12/2018,57076,57659,56300,56300,2525840
01/15/2018,56300,58241,55329,58241,2061850
01/16/2018,57562,58532,57076,58241,2218380
01/17/2018,58047,58144,54552,54552,2077670
01/18/2018,54358,56785,54261,56785,2845720
01/19/2018,56882,59600,56591,59212,2998270
01/22/2018,60182,61541,59891,61444,2300660
01/23/2018,60182,61444,59891,60862,1556510
01/25/2018,63580,65715,61930,65715,4788340
01/26/2018,67366,67948,64551,67074,2617800
01/29/2018,67948,69404,65812,66007,2281360
01/30/2018,64551,65812,64259,65036,2818520
01/31/2018,65036,66880,64259,64648,1936300
02/01/2018,64453,65812,63871,64648,2166810
02/02/2018,65521,65521,64648,65424,1652660
02/05/2018,64065,65036,60862,60862,2687810
02/06/2018,56688,61153,56688,60182,6724710
02/07/2018,63095,63289,60959,61638,1635780
02/08/2018,60765,61638,59697,61056,855160
02/09/2018,56785,60474,56785,59115,2408810
02/12/2018,60182,61638,58921,61638,1847850
02/13/2018,62415,62997,61736,62124,1527780
02/21/2018,63095,65910,62609,64259,2132410
02/22/2018,63677,65424,63483,64842,2352100
02/23/2018,65036,69307,64745,69307,4825770
02/26/2018,72122,72122,69307,69792,3453290
02/27/2018,70763,71345,69598,71054,2249770
02/28/2018,69986,72801,69889,71637,3475320
03/01/2018,70472,72413,68919,69404,3615670
03/02/2018,67948,69889,67948,69695,2525210
03/05/2018,69889,70375,66007,66007,2914810
03/06/2018,66977,69404,65715,69113,3103920
03/07/2018,69404,69792,66492,67560,2277620
03/08/2018,67560,68336,66783,67463,1554260
03/09/2018,68433,69404,67560,68919,3236520
03/12/2018,69889,71248,69404,69889,2899140
03/13/2018,69889,70472,68530,69889,2146470
03/14/2018,70472,72122,70472,71637,4053460
03/15/2018,70860,72316,70666,71637,2111990
03/16/2018,72316,73093,71928,72510,5327050
03/19/2018,73384,74257,70860,72122,2803610
03/20/2018,71151,72704,71151,71831,1836040
03/21/2018,72316,72996,71345,71345,2952180
03/22/2018,71831,71831,69889,69889,3871380
03/23/2018,66492,68627,66492,67851,4563730
03/26/2018,67948,69792,67560,69792,1821910
03/27/2018,70666,70763,68530,68919,2322350
03/28/2018,67851,69210,67754,68433,1643300
03/29/2018,68724,69501,68045,68919,1457380
03/30/2018,68919,69307,68142,68433,1280140
04/02/2018,68919,71831,68724,71831,3055600
04/03/2018,71831,73093,71345,72122,3500060
04/04/2018,72316,72607,71345,71345,2089100
04/05/2018,71637,71831,70472,71345,1763710
04/06/2018,71442,72607,71248,71345,2346040
04/09/2018,71345,72122,71345,71637,2693260
04/10/2018,72316,73093,71442,72316,5026810
04/11/2018,72510,72607,67948,69113,3911130
04/12/2018,68822,69404,67948,68822,3262970
04/13/2018,69210,69307,65521,65910,5148440
04/16/2018,65230,65618,63192,63968,3992890
04/17/2018,64065,65036,63580,65036,2104840
04/18/2018,65812,65812,62900,62900,2005410
04/19/2018,62512,62609,59212,59212,4909820
04/20/2018,59406,62124,58921,62124,2996320
04/23/2018,62609,62900,57853,57853,2876760
04/24/2018,57270,58921,56300,58241,4451970
04/26/2018,58241,59503,56300,56494,4669710
04/27/2018,56494,58435,56397,58241,2940100
05/02/2018,58824,59212,56106,56494,2862030
05/03/2018,56494,57950,55232,57853,3451890
